rank,year,duration,age_limit,rating,numberof_ratings,Metascore,description,name
43,1979,1h 57m,X,8.5,(957K),89,The crew of a commercial spacecraft encounters a deadly lifeform after investigating a mysterious transmission of unknown origin., Alien
44,2019,2h 12m,15,8.5,(971K),97,Greed and class discrimination threaten the newly-formed symbiotic relationship between the wealthy Park family and the destitute Kim clan., Parasite
45,2006,2h 31m,18,8.5,(1.4M),85,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston., The Departed
46,2012,2h 45m,18,8.5,(1.7M),81,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.", Django Unchained
47,1960,1h 49m,15,8.5,(722K),97,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother., Psycho
48,2006,2h 10m,12A,8.5,(1.4M),66,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.", The Prestige
49,1994,1h 28m,U,8.5,(1.1M),88,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.", The Lion King
50,2014,1h 46m,15,8.5,(999K),89,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential., Whiplash
51,1995,1h 46m,18,8.5,(1.2M),76,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup., The Usual Suspects
52,1998,1h 59m,18,8.5,(1.2M),62,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps.", American History X
53,2002,2h 30m,15,8.5,(919K),85,"During WWII, acclaimed Polish musician Wladyslaw faces various struggles as he loses contact with his family. As the situation worsens, he hides in the ruins of Warsaw in order to survive.", The Pianist
54,1954,1h 52m,PG,8.5,(525K),100,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window and, despite the skepticism of his fashion-model girlfriend, becomes convinced one of them has committed murder.", Rear Window
55,1942,1h 42m,U,8.5,(609K),100,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco., Casablanca
56,1968,2h 46m,12,8.5,(351K),82,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad., Once Upon a Time in the West
57,2011,1h 52m,15,8.5,(935K),57,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.", Untouchable
58,1988,1h 29m,12A,8.5,(313K),94,A young boy and his little sister struggle to survive in Japan during World War II., Grave of the Fireflies
59,1988,2h 54m,PG,8.5,(285K),80,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist., Cinema Paradiso
60,1931,1h 27m,U,8.5,(197K),99,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.", City Lights
61,1936,1h 27m,U,8.5,(261K),96,The Tramp struggles to live in modern industrial society with the help of a young homeless woman., Modern Times
62,2022,2h 43m,12A,8.5,(69K),,"An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her.", Sita Ramam
63,2018,2h 38m,PG,8.5,(37K),,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.,96
64,2009,2h 33m,18,8.4,(1.6M),69,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.", Inglourious Basterds
65,1979,2h 27m,X,8.4,(714K),94,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god., Apocalypse Now
66,2019,3h 1m,12A,8.4,(1.3M),78,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.", Avengers: Endgame
67,1986,2h 17m,18,8.4,(767K),84,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.", Aliens
68,2019,2h 2m,15,8.4,(1.5M),59,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.", Joker
69,2012,2h 44m,12A,8.4,(1.8M),78,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.", The Dark Knight Rises
70,1980,2h 26m,X,8.4,(1.1M),68,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.", The Shining
71,2018,2h 29m,12A,8.4,(1.2M),68,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe., Avengers: Infinity War
72,1985,2h 22m,15,8.4,(99K),,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.", Come and See
73,1984,2h 40m,PG,8.4,(430K),87,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.", Amadeus
74,2000,1h 53m,15,8.4,(1.3M),83,A man with short-term memory loss attempts to track down his wife's murderer., Memento
75,1950,1h 50m,PG,8.4,(238K),94,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return., Sunset Blvd
76,2017,1h 45m,PG,8.4,(597K),81,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.", Coco
77,1981,1h 55m,PG,8.4,(1M),86,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.", Raiders of the Lost Ark
78,2008,1h 38m,U,8.4,(1.2M),95,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.", WALLÂ·E
79,2018,1h 57m,PG,8.4,(678K),87,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities., Spider-Man: Into the Spider-Verse
80,2016,1h 46m,12A,8.4,(325K),81,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person.", Your Name
81,2009,2h 50m,12A,8.4,(437K),67,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".", 3 Idiots
82,2006,2h 17m,15,8.4,(412K),89,"In 1984 East Berlin, an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives.", The Lives of Others
83,2018,2h 6m,15,8.4,(107K),75,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.", Capernaum
84,1981,2h 29m,AA,8.4,(265K),85,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II., Das Boot
85,1957,1h 28m,PG,8.4,(214K),90,"After a failed attack on a German position, a general orders three soldiers, chosen at random, court-martialed for cowardice and their commanding officer must defend them.", Paths of Glory
86,1957,1h 56m,U,8.4,(139K),76,A veteran British barrister must defend his client in a murder trial that has surprise after surprise., Witness for the Prosecution
