rank,year,duration,age_limit,rating,numberof_ratings,Metascore,description,name
521,1964,1h 39m,15,7.9,(234K),65,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.", A Fistful of Dollars
522,1945,1h 41m,PG,7.9,(40K),,The desperate life of a chronic alcoholic is followed through a four-day drinking bout., The Lost Weekend
523,2016,1h 46m,12A,7.9,(102K),79,"A young lad notices a beautiful girl who begins to occupy his thoughts. While struggling with poverty, personal relationships and life's woes, he starts a band, hoping to catch her attention.", Sing Street
524,1956,3h 40m,U,7.9,(78K),,"Moses, raised as a prince of Egypt in the Pharaoh's household, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people from slavery.", The Ten Commandments
525,1993,1h 16m,PG,7.9,(377K),82,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.", The Nightmare Before Christmas
526,1922,1h 34m,PG,7.9,(106K),,Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife., Nosferatu
527,2008,1h 49m,15,7.9,(321K),80,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.", The Wrestler
528,2011,1h 40m,PG,7.9,(249K),89,"When George, a silent movie superstar, meets Peppy Miller, a dancer, sparks fly between the two. However, after the introduction of talking pictures, their fortunes change, affecting their dynamic.", The Artist
529,1969,2h 25m,18,7.9,(91K),98,"An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them.", The Wild Bunch
530,1967,1h 50m,A,7.9,(84K),76,"A black Philadelphia police detective is mistakenly suspected of a local murder while passing through a racially hostile Mississippi town, and after being cleared is reluctantly asked by the police chief to investigate the case.", In the Heat of the Night
531,1972,2h 47m,PG,7.9,(99K),93,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane., Solaris
532,1976,2h 18m,AA,7.9,(127K),84,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.", All the President's Men
533,2018,2h 1m,15,7.9,(87K),93,"On the margins of Tokyo, a dysfunctional band of outsiders are united by loyalty, a penchant for petty theft and playful grifting. When the young son is arrested, secrets are exposed that upend their tenuous, below-the-radar existence.", Shoplifters
534,1951,1h 41m,PG,7.9,(142K),88,A psychopathic man tries to forcibly persuade a tennis star to agree to his theory that two strangers can get away with murder by submitting to his plan to kill the other's most-hated person., Strangers on a Train
535,1941,1h 40m,PG,7.9,(167K),97,"San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar and their quest for a priceless statuette, with the stakes rising after his partner is murdered.", The Maltese Falcon
536,1951,2h 2m,X,7.9,(115K),97,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her., A Streetcar Named Desire
537,2000,2h 20m,15,7.9,(117K),63,An Eastern European US immigrant with a love for musicals has to cope with the gradual loss of her vision., Dancer in the Dark
538,1965,3h 13m,PG,7.9,(82K),69,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.", Doctor Zhivago
539,1970,2h 52m,PG,7.9,(108K),86,The World War II phase of the career of controversial American general George S. Patton., Patton
540,1962,2h 6m,12A,7.9,(80K),94,An American POW in the Korean War is brainwashed as an unwitting assassin for an international Communist conspiracy., The Manchurian Candidate
541,1933,1h 40m,PG,7.9,(91K),92,"A film crew goes to a tropical island for a location shoot, where they capture a colossal ape who takes a shine to their blonde starlet, and bring him back to New York City.", King Kong
542,2014,2h 30m,18,7.9,(132K),71,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.", The Raid 2
543,2002,2h,12A,7.9,(188K),85,"A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors.", Hero
544,1979,2h 10m,AA,7.9,(78K),83,"After the death of his employer forces him out of the only home he's ever known, a simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful tycoon and an insider in Washington politics.", Being There
545,1971,1h 31m,AA,7.9,(82K),62,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.", Harold and Maude
546,1983,1h 33m,PG,7.9,(169K),77,"In the 1940s, a young boy named Ralphie Parker attempts to convince his parents, teacher, and Santa Claus that a Red Ryder Range 200 Shot BB gun really is the perfect Christmas gift.", A Christmas Story
547,1968,2h 14m,A,7.9,(34K),,"1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. When he allows his imprisoned wife Eleanor of Aquitaine out for a Christmas visit, they all variously plot to force him into a decision.", The Lion in Winter
548,1963,3h 6m,PG,7.9,(29K),100,"The Prince of Salina, a noble aristocrat of impeccable integrity, tries to preserve his family and class amid the tumultuous social upheavals of 1860s Sicily.", The Leopard
549,2002,1h 52m,15,7.9,(118K),86,Two men share an odd friendship while they care for two women who are both in deep comas., Talk to Her
550,1946,1h 42m,A,7.9,(108K),100,The daughter of a convicted German spy is asked by American agents to gather information on a ring of German scientists in South America. How far will she have to go to ingratiate herself with them?, Notorious
551,1956,1h 24m,PG,7.9,(98K),91,Crook Johnny Clay assembles a five-man team to plan and execute a daring racetrack robbery., The Killing
552,1994,1h 42m,18,7.9,(37K),77,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts., Once Were Warriors
553,1946,1h 54m,PG,7.9,(91K),86,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail and what might be love.", The Big Sleep
554,1940,1h 52m,A,7.9,(74K),96,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.", The Philadelphia Story
555,1950,1h 34m,PG,7.9,(36K),,"A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts.", In a Lonely Place
556,2017,2h 17m,15,7.9,(32K),69,"A widowed father and taxi driver who drives a German reporter from Seoul to Gwangju to cover the 1980 uprising, soon finds himself regretting his decision after being caught in the violence around him.", A Taxi Driver
557,2019,1h 53m,PG,7.9,(56K),69,"The story of Togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race.", Togo
558,2015,2h 39m,15,7.9,(138K),,"A child from the Mahishmati kingdom is raised by tribal people and one day learns about his royal heritage, his father's bravery in battle and a mission to overthrow the incumbent ruler.", Baahubali: The Beginning
559,1975,1h 47m,U,7.9,(53K),82,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.", Mirror
560,2013,1h 36m,15,7.9,(92K),82,A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend., Short Term 12
561,1958,1h 48m,PG,7.9,(54K),84,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son., Cat on a Hot Tin Roof
562,1938,1h 42m,U,7.9,(55K),97,"When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence in 1190s England, a Saxon lord fights back as the outlaw leader of a resistance movement.", The Adventures of Robin Hood
563,1950,1h 44m,U,7.9,(58K),,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows.", Harvey
564,1970,1h 53m,X,7.9,(34K),100,"A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident.", The Conformist
565,1944,1h 58m,PG,7.9,(75K),,A Brooklyn writer of books on the futility of marriage risks his reputation after he decides to tie the knot. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers., Arsenic and Old Lace
566,2012,2h 7m,12A,7.9,(106K),95,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested.", Amour
567,2010,2h 45m,12A,7.9,(117K),50,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey., My Name Is Khan
568,2003,3h 6m,12A,7.9,(76K),54,"Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her.", Kal Ho Naa Ho
569,1967,2h 14m,X,7.9,(29K),89,"Two ex-cons murder a family in a robbery attempt, before going on the run from the authorities. The police try to piece together the details of the murder in an attempt to track down the killers.", In Cold Blood
570,1980,3h,PG,7.9,(38K),84,A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place., Kagemusha
571,1986,2h 29m,PG,7.9,(31K),,"At the dawn of World War III, a man searches for a way to restore peace to the world and finds he must give something in return.", The Sacrifice
572,1953,1h 29m,X,7.9,(29K),,Tough cop Dave Bannion takes on a politically powerful crime syndicate., The Big Heat
573,1983,2h 5m,15,7.9,(30K),74,"A Russian poet and his interpreter travel to Italy researching the life of an 18th-century composer, and instead meet a ruminative madman who tells the poet how the world may be saved.", Nostalgia
574,1934,1h 31m,PG,7.9,(33K),86,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.", The Thin Man
575,1945,1h 51m,PG,7.9,(29K),88,A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter., Mildred Pierce
576,2004,2h 1m,18,7.9,(58K),78,"With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love.", Head-On
577,1941,1h 30m,PG,7.9,(29K),,Hollywood director John L. Sullivan sets out to experience life as a homeless person in order to gain relevant life experience for his next movie., Sullivan's Travels
578,1970,2h 20m,PG,7.9,(28K),92,"After leaving prison, master thief Corey crosses paths with a notorious escapee and an alcoholic former policeman. The trio proceed to plot an elaborate heist.", The Red Circle
579,1947,1h 36m,U,7.9,(55K),88,"After a divorced New York mother hires a nice old man to play Santa Claus at Macy's, she is startled by his claim to be the genuine article. When his sanity is questioned, a lawyer defends him in court by arguing that he's not mistaken.", Miracle on 34th Street
580,1936,1h 34m,A,7.9,(27K),82,A scatterbrained socialite hires a vagrant as a family butler - but there's more to Godfrey than meets the eye., My Man Godfrey
581,2014,1h 36m,12A,7.9,(28K),71,"Leonardo is a blind teenager searching for independence. His everyday life, the relationship with his best friend Giovana, and the way he sees the world change completely with the arrival of Gabriel.", The Way He Looks
582,1958,1h 31m,PG,7.9,(29K),94,"A self-assured businessman murders his employer, the husband of his mistress, which unintentionally provokes an ill-fated chain of events.", Lift to the Scaffold
583,1925,1h 15m,PG,7.9,(62K),97,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre.", Battleship Potemkin
584,2001,1h 38m,15,7.9,(49K),84,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap.", No Man's Land
585,2000,1h 54m,15,7.9,(57K),80,"Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"").", Nine Queens
586,2009,1h 59m,12A,7.9,(57K),87,The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers., About Elly
587,2019,2h 34m,12A,7.9,(44K),65,A coming-of-age story based on the lives of street rappers in Mumbai., Gully Boy
588,2003,1h 50m,12,7.9,(48K),82,"In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces.", The Return
589,2004,1h 28m,15,7.9,(59K),72,A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days., 3-Iron
590,2007,1h 53m,15,7.9,(63K),97,A woman assists her friend in arranging an illegal abortion in 1980s Romania.," 4 Months, 3 Weeks and 2 Days"
591,1946,1h 36m,PG,7.9,(28K),92,"A beautiful young woman takes her father's place as the prisoner of a mysterious beast, who wishes to marry her.", La Belle et la BÃªte
592,1939,1h 50m,PG,7.9,(31K),99,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau.", The Rules of the Game
593,2009,2h 24m,15,7.9,(32K),,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?", Dev
594,1961,1h 30m,X,7.9,(28K),84,"Recently released from a mental hospital, Karin rejoins her emotionally disconnected family in their island home, only to slip from reality as she begins to believe she is being visited by God.", Through a Glass Darkly
595,2007,2h 18m,PG,7.9,(59K),,A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman., Jab We Met
596,2018,2h 4m,12A,7.9,(38K),,A man is embarrassed when he finds out his mother is pregnant., Badhaai Ho
597,2016,2h 10m,12A,7.9,(59K),,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.", Airlift
598,2019,2h 34m,12A,7.9,(37K),,Based on the life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna., Super 30
599,2015,2h 39m,15,7.9,(61K),,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.", Baby
600,2018,2h 20m,12A,7.9,(29K),,"Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India.", Padman
601,2024,2h 28m,15,7.8,(85K),79,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max., Furiosa: A Mad Max Saga
602,2023,2h 4m,12A,7.8,(119K),81,"Post-war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb.", Godzilla Minus One
603,2019,1h 53m,18,7.8,(407K),51,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.", The Gentlemen
604,1985,1h 37m,15,7.8,(439K),66,Five high school students meet in Saturday detention and discover how they have a great deal more in common than they thought., The Breakfast Club
605,2005,2h 9m,U,7.8,(333K),82,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?", Pride & Prejudice
606,2022,2h 56m,15,7.8,(795K),72,"When a sadistic serial killer begins murdering key political figures in Gotham, The Batman is forced to investigate the city's hidden corruption and question his family's involvement.", The Batman
607,1989,1h 43m,15,7.8,(80K),97,"Christy Brown, born with cerebral palsy, learns to paint and write with his only controllable limb - his left foot.", My Left Foot
608,1979,1h 36m,AA,7.8,(148K),83,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress., Manhattan
609,1986,1h 43m,15,7.8,(389K),61,"A popular high school student, admired by his peers, decides to take a day off from school and goes to extreme lengths to pull it off, to the chagrin of his Dean, who'll do anything to stop him.", Ferris Bueller's Day Off
610,1984,1h 45m,PG,7.8,(453K),71,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.", Ghostbusters
611,2017,1h 44m,15,7.8,(705K),85,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.", Get Out
612,2004,2h 3m,12A,7.8,(625K),53,An elderly man reads to a woman with dementia the story of two young lovers whose romance is threatened by the difference in their respective social classes., The Notebook
613,2013,2h 3m,12A,7.8,(390K),55,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.", About Time
614,2012,2h 23m,12A,7.8,(734K),81,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.", Skyfall
615,2022,2h 19m,15,7.8,(539K),81,A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led., Everything Everywhere All at Once
616,2015,2h 10m,15,7.8,(489K),81,"In 2006-2007 a group of investors bet against the United States mortgage market. In their research, they discover how flawed and corrupt the market is.", The Big Short
617,1993,2h 10m,15,7.8,(168K),50,"A successful lawman's plans to retire anonymously in Tombstone, Arizona, are disrupted by the kind of outlaws he was famous for eliminating.", Tombstone
618,2023,1h 45m,12A,7.8,(121K),94,"Nora and Hae Sung, two deeply connected childhood friends, are wrested apart after Nora's family emigrates from South Korea. Twenty years later, they are reunited for one fateful week as they confront notions of love and destiny.", Past Lives
619,1987,1h 47m,18,7.8,(458K),47,A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior., Predator
620,2017,1h 46m,12A,7.8,(745K),94,"Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II.", Dunkirk
621,2019,2h 15m,PG,7.8,(249K),91,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.", Little Women
622,2011,1h 40m,18,7.8,(709K),79,A mysterious Hollywood action film stuntman gets in trouble with gangsters when he tries to help his neighbor's husband rob a pawn shop while serving as his getaway driver., Drive
623,2016,2h 7m,PG,7.8,(257K),74,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program., Hidden Figures
624,2016,2h 13m,PG-13,7.8,(691K),65,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.", Rogue One
625,1993,1h 41m,PG,7.8,(103K),55,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures.", The Sandlot Kids
626,2006,2h 19m,18,7.8,(333K),68,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.", Apocalypto
627,2017,2h 12m,15,7.8,(319K),94,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.", Call Me by Your Name
628,1993,2h 1m,18,7.8,(163K),80,"An intense drama about a boy torn between his tough, hard-working father and a violent yet charismatic crime boss.", A Bronx Tale
629,2012,2h 49m,12A,7.8,(877K),58,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home and the gold within it from the dragon Smaug.", The Hobbit: An Unexpected Journey
630,2017,1h 43m,PG,7.8,(95K),88,"Paddington, now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's 100th birthday, only for the gift to be stolen.", Paddington 2
631,2015,2h 48m,18,7.8,(664K),68,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.", The Hateful Eight
632,2023,2h 24m,15,7.8,(138K),72,The flight of a rugby team crashes on a glacier in the Andes. The few passengers who survive the crash find themselves in one of the world's toughest environments to survive., Society of the Snow
633,2007,2h 1m,15,7.8,(537K),81,"An overachieving London police sergeant is transferred to a village where the easygoing officers object to his fervor for regulations, all while a string of grisly murders strikes the town.", Hot Fuzz
634,2014,1h 57m,15,7.8,(608K),76,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.", Nightcrawler
635,2007,2h 3m,15,7.8,(301K),85,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit., Atonement
636,2015,2h 18m,12A,7.8,(978K),80,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.", Star Wars: Episode VII - The Force Awakens
637,2002,1h 59m,12A,7.8,(579K),68,"A man is picked up by a fishing boat, bullet-riddled and suffering from amnesia, before racing to elude assassins and attempting to regain his memory.", The Bourne Identity
638,2010,2h,12A,7.8,(763K),95,"As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business.", The Social Network
639,1971,1h 40m,U,7.8,(229K),67,A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory., Willy Wonka & the Chocolate Factory
640,2019,3h 29m,15,7.8,(434K),94,"An illustration of Frank Sheeran's life, from W.W.II veteran to hit-man for the Bufalino crime family and his alleged assassination of his close friend Jimmy Hoffa.", The Irishman
641,2022,1h 42m,PG,7.8,(179K),73,"When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish.", Puss in Boots: The Last Wish
642,1993,2h 10m,12,7.8,(321K),87,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.", The Fugitive
643,2022,2h 28m,15,7.8,(249K),76,A young German soldier's terrifying experiences and distress on the western front during World War I., All Quiet on the Western Front
644,1964,2h 19m,PG,7.8,(187K),88,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.", Mary Poppins
645,1989,1h 48m,PG,7.8,(576K),57,"After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.", Back to the Future Part II
646,1991,1h 52m,15,7.8,(156K),76,"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects.", Boyz n the Hood
647,2016,2h 27m,12A,7.8,(855K),75,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man., Captain America: Civil War
648,2000,2h 23m,12,7.8,(642K),74,A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island., Cast Away
649,2016,2h 17m,15,7.8,(316K),96,A depressed uncle is asked to take care of his teenage nephew after the boy's father dies., Manchester by the Sea
650,2000,1h 53m,PG,7.8,(233K),48,"In 1971 Virginia high school football was everything to the people of Alexandria. But when the school board was forced to integrate an all-black school with an all-white one, the very foundation of football's tradition was put to the test.", Remember the Titans
651,2006,1h 41m,15,7.8,(521K),80,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus., Little Miss Sunshine
652,2011,2h 38m,18,7.8,(497K),71,Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for 40 years by young computer hacker Lisbeth Salander., The Girl with the Dragon Tattoo
653,2008,2h 46m,12A,7.8,(699K),70,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences.", The Curious Case of Benjamin Button
654,1987,1h 59m,15,7.8,(332K),79,"During Prohibition, Treasury agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone, and assembles a small, incorruptible team to help him.", The Untouchables
655,2022,3h 7m,15,7.8,(168K),83,A fearless warrior on a perilous mission comes face to face with a steely cop serving British forces in this epic saga set in pre-independent India., RRR
656,2013,2h 41m,12A,7.8,(709K),66,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim the Lonely Mountain, their homeland, from the dragon Smaug.", The Hobbit: The Desolation of Smaug
657,2007,2h 37m,18,7.8,(455K),76,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.", American Gangster
658,2016,1h 58m,15,7.8,(236K),72,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.", Captain Fantastic
659,2014,1h 42m,PG,7.8,(505K),74,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.", Big Hero 6
660,2022,1h 44m,12A,7.8,(37K),81,"The intense friendship between two thirteen-year old boys Leo and Remi suddenly gets disrupted. Struggling to understand what has happened, Léo approaches Sophie, Rémi's mother. ""Close"" is a film about friendship and responsibility.", Close
661,2003,2h 34m,15,7.8,(474K),55,"In 19th century Japan, Nathan Algren, a US army captain, is hired by the Japanese emperor to train his army in the modern warfare techniques. Captain Algren finds himself trapped in a struggle between two eras and two worlds.", The Last Samurai
662,2005,1h 59m,15,7.8,(306K),74,The crew of the ship Serenity try to evade an assassin sent to recapture telepath River., Serenity
663,2016,1h 41m,12A,7.8,(143K),81,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush., Hunt for the Wilderpeople
664,1990,1h 47m,18,7.8,(237K),75,"After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse.", Misery
665,2010,2h 24m,18,7.8,(147K),67,A secret agent exacts revenge on a serial killer through a series of captures and releases., I Saw the Devil
666,2009,1h 37m,15,7.8,(378K),67,"Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems.", Moon
667,2007,1h 27m,PG,7.8,(201K),,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine., The Man from Earth
668,1973,1h 54m,R,7.8,(48K),76,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.", The Holy Mountain
669,1989,2h 2m,15,7.8,(145K),78,"Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.", Glory
670,2015,2h 27m,15,7.8,(220K),72,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.", Straight Outta Compton
671,1969,1h 53m,X,7.8,(122K),79,"A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process.", Midnight Cowboy
672,1985,2h 12m,15,7.8,(212K),84,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams., Brazil
673,2022,2h 27m,12A,7.8,(68K),66,A rescue mission is assembled in Thailand where a group of young boys and their soccer coach are trapped in a system of underground caves that are flooding., Thirteen Lives
674,2013,2h 14m,12A,7.8,(495K),82,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.", Captain Phillips
675,2012,1h 34m,12A,7.8,(368K),84,"Two 12-year-olds, who live on an island, fall in love with each other and elope into the wilderness. While people set out on a search mission, a violent storm approaching them catches their attention.", Moonrise Kingdom
676,2006,1h 57m,R,7.8,(117K),64,"In 1920s Los Angeles, a bedridden patient in a hospital captivates a young girl with a fantastic tale of heroes, myths, and villains on a desert island.", The Fall
677,1956,1h 59m,PG,7.8,(97K),94,An American Civil War veteran embarks on a years-long journey to rescue his niece from the Comanches after the rest of his brother's family is massacred in a raid on their Texas farm., The Searchers
678,1976,2h 15m,18,7.8,(80K),69,Missouri farmer Josey Wales joins a Confederate guerrilla unit and winds up on the run from the Union soldiers who murdered his family., The Outlaw Josey Wales
679,1979,1h 45m,PG,7.8,(155K),77,"After his wife leaves him, a work-obsessed Manhattan advertising executive is forced to learn long-neglected parenting skills, but a heated custody battle over the couple's young son deepens the wounds left by the separation.", Kramer vs
680,2005,2h 16m,12A,7.8,(267K),72,"A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins.", Walk the Line
681,2010,1h 56m,15,7.8,(390K),79,"Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness.", The Fighter
682,2014,1h 59m,15,7.8,(62K),79,U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984., Pride
683,1988,2h 8m,18,7.8,(112K),65,Two F.B.I. Agents with wildly different styles arrive in Mississippi to investigate the disappearance of some civil rights activists., Mississippi Burning
